calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
0 0.000000 0.000000 0.000000 0.000000 11.111111 0.000000 0.000000 11.111111 0.000000 0.003385 0.000000 0.000000 0.000000 0.000000 
1 0.050000 1.500983 0.000000 0.000000 13.422361 0.000000 0.000000 11.118737 0.005080 0.004122 1.500983 0.000000 0.000000 0.000000 
1 0.100000 3.752458 0.000000 0.000000 15.733611 0.000000 0.000000 11.162506 0.014360 0.004859 2.251475 0.000000 0.000000 0.000000 
1 0.150000 5.253441 0.000000 0.000000 18.044861 0.000000 0.000000 11.216561 0.021653 0.005596 1.500983 0.000000 0.000000 0.000000 
1 0.200000 5.628687 0.000000 0.000000 20.356111 0.000000 0.000000 11.233599 0.023753 0.006333 0.375246 0.000000 0.000000 0.000000 
1 0.250000 5.628687 0.000000 0.000000 22.667361 0.000000 0.000000 11.233599 0.023753 0.007070 0.000000 0.000000 0.000000 0.000000 
1 0.300000 5.628687 0.000000 0.000000 24.978611 0.000000 0.000000 11.233599 0.023753 0.007807 0.000000 0.000000 0.000000 0.000000 
1 0.350000 5.628687 0.000000 0.000000 27.289861 0.000000 0.000000 11.233599 0.023753 0.008544 0.000000 0.000000 0.000000 0.000000 
1 0.400000 5.816310 0.000000 0.003350 29.601111 0.000000 0.000000 11.242813 0.025356 0.009281 0.187623 0.003350 0.000000 0.000000 
1 0.450000 6.754419 0.003143 0.000000 31.912335 0.007637 -0.000029 11.298579 0.034062 0.010018 0.938114 -0.003350 0.000000 0.000000 
1 0.500000 8.443025 0.003143 0.003350 34.223585 0.007587 -0.000029 11.442177 0.050978 0.010755 1.688606 0.003350 0.000000 0.000000 
1 0.550000 11.069731 0.011944 0.003350 36.534811 0.014557 -0.000124 11.784213 0.079227 0.011492 2.626721 -0.000000 0.000000 0.000000 
1 0.600000 13.696437 0.020744 0.003350 38.846038 0.021012 -0.000225 12.279740 0.109413 0.012229 2.626721 0.000000 0.000000 0.000000 
1 0.650000 16.698386 0.030802 0.003350 41.157268 0.026611 -0.000348 13.046869 0.146122 0.012966 3.001966 0.000000 0.000000 0.000000 
1 0.700000 19.512714 0.040231 0.006701 43.468499 0.031653 -0.000470 13.972062 0.182612 0.013703 2.814343 0.003350 0.000000 0.000000 
